A,CENSUS BLOCK,NUMBER OF LIQUOR LICENSES,NUMBER OF CRIMES,NUMBER OF ARRESTS
6,0000X E 9TH,1,263,50
31,0000X E ROOSEVELT,5,1986,1042
37,0000X N CARPENTER,2,39,2
40,0000X N FRANKLIN,4,181,20
45,0000X N RIVERSIDE,3,105,16
46,0000X N STATE,2,7136,3893
53,0000X S FRANKLIN,4,188,17
58,0000X S MORGAN,2,62,6
60,0000X S STATE,5,2779,1181
64,0000X W 26TH,5,18,5
74,0000X W HARRISON,2,96,15
99,001XX E 23RD,2,50,3
107,001XX E CONGRESS,2,63,16
112,001XX E LAKE,1,117,13
123,001XX N ADA,1,131,6
126,001XX N CLARK,5,804,107
128,001XX N COLUMBUS,3,65,11
143,001XX N SANGAMON,1,381,45
160,001XX S CLARK,3,393,52
162,001XX S COLUMBUS,4,80,29
209,001XX W LAKE,3,2234,1012
216,001XX W RIVERWALK,2,12,9
217,001XX W ROOSEVELT,2,219,45
221,001XX W WACKER,1,231,35
225,002XX E 18TH,4,29,3
230,002XX E CERMAK,3,29,5
248,002XX N CLARK,1,605,114
252,002XX N HALSTED,4,133,20
264,002XX N WELLS,3,279,26
265,002XX N WOOD,1,26,5
269,002XX S COLUMBUS,5,145,23
285,002XX W ADAMS,3,625,87
327,003XX E RIVERWALK,2,17,1
336,003XX N GREEN,1,309,20
339,003XX N JUSTINE,1,106,5
345,003XX N OGDEN,1,119,8
351,003XX S CLINTON,5,123,15
356,003XX S JEFFERSON,5,123,15
358,003XX S MICHIGAN,3,599,120
439,004XX S HALSTED,1,186,60
443,004XX S WABASH,4,315,69
511,005XX W ADAMS,4,323,37
528,005XX W ROOSEVELT,3,1456,644
531,005XX W TAYLOR,5,124,12
570,006XX S COLUMBUS,4,77,32
576,006XX S WELLS,5,244,27
590,006XX W WALNUT,2,14,2
618,007XX S COLUMBUS,5,90,39
623,007XX S WESTERN,3,354,60
637,007XX W JACKSON,1,517,130
670,008XX S CLARK,3,174,14
671,008XX S COLUMBUS,4,45,29
672,008XX S DESPLAINES,1,34,8
673,008XX S FINANCIAL,2,77,8
698,008XX W MONROE,1,131,17
702,008XX W ROOSEVELT,5,130,17
704,008XX W TAYLOR,1,29,5
729,009XX S MICHIGAN,1,234,45
730,009XX S STATE,2,110,20
751,009XX W LAKE,3,292,47
757,009XX W ROOSEVELT,1,75,8
801,010XX W FULTON,5,181,22
845,011XX S COLUMBUS,2,82,44
864,011XX W FULTON,1,152,8
867,011XX W JACKSON,4,591,227
876,011XX W WASHINGTON,1,74,4
906,012XX S PRAIRIE,2,143,14
908,012XX S STATE,3,623,121
920,012XX W MADISON,4,193,19
950,013XX S PRAIRIE,5,132,12
977,013XX W WASHINGTON,3,296,19
1003,014XX S ASHLAND,5,409,118
1009,014XX S WABASH,3,313,25
1085,015XX W FULTON,4,256,12
1092,015XX W ROOSEVELT,2,447,224
1134,016XX S WABASH,4,135,18
1136,016XX W 16TH,1,40,7
1159,016XX W LAKE,1,621,171
1163,016XX W OGDEN,4,391,49
1164,016XX W TAYLOR,3,45,7
1190,017XX S WENTWORTH,1,62,8
1212,017XX W LAKE,3,271,35
1264,018XX W JACKSON,1,182,31
1271,018XX W WALNUT,4,44,4
1321,019XX W FULTON,1,138,27
1325,019XX W LAKE,3,444,209
1361,020XX S WABASH,4,205,36
1380,020XX W FULTON,3,195,24
1410,021XX S MICHIGAN,2,730,132
1472,022XX W TAYLOR,5,236,31
1474,022XX W WALNUT,3,106,12
1515,023XX W MADISON,5,1684,1193
1541,024XX S MICHIGAN,3,191,30
1545,024XX S STATE,4,1898,1195
1551,024XX W 14TH,1,32,6
1597,025XX S WABASH,3,90,12
